1,Sewer,2005-06-22 18:58:48,2005-06-23 01:12:47,Completed,201
2,Electricity,2001-06-22 19:01:15,2001-06-22 21:24:52,Completed,539
3,Traffic Light,2004-06-11 08:02:25,2004-06-11 17:20:59,Completed,756
4,Pipeline,2023-05-06 21:46:21,2023-05-07 03:09:01,Completed,766
5,Pipeline,2018-04-25 13:51:34,2018-04-25 16:01:17,Completed,795
6,Sewer,2016-08-29 16:56:24,2016-08-29 21:26:35,Completed,316
7,Pipeline,2008-03-17 08:24:17,2008-03-17 12:28:14,Completed,25
8,Powerline,2020-01-16 07:40:34,2020-01-16 17:05:02,Completed,190
9,Electricity,2013-12-06 06:12:52,2013-12-06 08:20:08,Completed,871
10,Sewer,2019-12-12 03:08:28,2019-12-12 04:14:17,Completed,818
11,Sewer,2009-07-30 00:54:28,2009-07-30 07:06:59,Completed,299
12,Pipeline,2017-04-27 17:14:55,2017-04-28 02:42:02,Completed,220
13,Traffic Light,2007-08-10 12:35:28,2007-08-10 19:53:06,Completed,197
14,Electricity,2008-02-19 19:44:34,2008-02-19 21:07:01,Completed,625
15,Traffic Light,2018-12-09 12:57:43,2018-12-09 21:26:21,Completed,19
16,Powerline,2004-05-12 02:17:05,2004-05-12 12:45:33,Completed,822
17,Pipeline,2007-01-09 10:45:34,2007-01-09 20:56:50,Completed,338
18,Traffic Light,2014-06-06 03:42:37,2014-06-06 08:47:03,Completed,576
19,Electricity,2011-04-25 01:51:12,2011-04-25 03:52:49,Completed,802
20,Traffic Light,2004-11-22 13:33:30,2004-11-22 23:48:29,Completed,488
21,Road Construction,2002-08-19 11:30:52,,In Progress,304
22,Electricity,2015-08-31 12:20:00,2015-08-31 22:33:09,Completed,651
23,Traffic Light,2006-11-26 08:38:58,2006-11-26 13:49:23,Completed,12
24,Sewer,2004-02-03 20:22:18,,In Progress,91
25,Sewer,2007-03-26 04:19:04,2007-03-26 06:20:20,Completed,355
26,Pipeline,2007-12-14 04:33:56,2007-12-14 08:38:32,Completed,988
27,Traffic Light,1997-08-17 13:37:13,1997-08-17 23:40:47,Completed,846
28,Sewer,2013-02-15 03:58:29,2013-02-15 14:06:13,Completed,65
29,Road Construction,2005-12-14 17:43:14,2005-12-14 22:11:45,Completed,78
30,Electricity,1999-02-09 09:13:06,1999-02-09 12:35:39,Completed,521
31,Powerline,2012-12-18 22:16:04,2012-12-19 07:25:24,Completed,531
32,Traffic Light,2020-04-13 23:37:35,2020-04-14 02:50:39,Completed,197
33,Electricity,2001-02-18 02:52:29,2001-02-18 06:05:42,Completed,895
34,Pipeline,2020-04-16 11:18:40,2020-04-16 21:27:35,Completed,575
35,Pipeline,2004-10-28 20:29:25,2004-10-29 00:57:36,Completed,889
36,Powerline,2018-09-04 17:38:30,2018-09-04 21:57:47,Completed,177
37,Road Construction,2014-07-13 09:01:59,2014-07-13 16:21:44,Completed,842
38,Pipeline,2000-12-16 20:55:14,2000-12-17 02:59:31,Completed,89
39,Powerline,1998-04-11 20:30:57,1998-04-12 02:55:16,Completed,849
40,Sewer,1998-05-10 08:46:52,1998-05-10 11:11:06,Completed,673
41,Sewer,2022-07-04 14:20:38,2022-07-04 22:30:03,Completed,638
42,Road Construction,2013-01-22 19:55:43,2013-01-22 21:56:50,Completed,488
43,Powerline,2002-05-31 19:51:34,2002-06-01 01:01:48,Completed,129
44,Sewer,2002-09-14 13:56:24,2002-09-14 22:04:21,Completed,94
45,Powerline,2009-01-11 04:22:11,2009-01-11 10:39:42,Completed,923
46,Road Construction,1999-02-12 11:01:39,1999-02-12 17:31:57,Completed,476
47,Road Construction,2008-07-05 06:07:18,2008-07-05 15:25:35,Completed,22
48,Electricity,2024-05-03 04:47:15,2024-05-03 14:02:19,Completed,386
49,Electricity,2005-08-22 17:16:01,2005-08-23 01:18:27,Completed,963
50,Sewer,2000-01-19 16:58:28,2000-01-19 20:12:53,Completed,214
51,Pipeline,2001-02-01 16:18:20,2001-02-01 20:42:17,Completed,237
52,Sewer,2017-09-22 15:25:36,2017-09-22 16:33:06,Completed,8
53,Powerline,2008-02-06 05:18:29,2008-02-06 13:39:01,Completed,641
54,Powerline,2006-04-20 22:04:08,2006-04-21 01:21:37,Completed,711
55,Electricity,2024-01-14 09:06:17,2024-01-14 14:21:11,Completed,858
56,Powerline,2006-04-26 01:16:48,2006-04-26 10:43:21,Completed,776
57,Traffic Light,2009-09-15 18:19:14,2009-09-15 23:26:57,Completed,963
58,Traffic Light,2008-01-13 23:51:12,2008-01-14 05:56:55,Completed,179
59,Traffic Light,2018-08-18 13:18:41,2018-08-18 17:26:10,Completed,409
60,Electricity,2018-03-21 17:11:41,2018-03-21 20:27:59,Completed,112
61,Electricity,2021-09-26 15:28:12,2021-09-27 01:34:46,Completed,953
62,Powerline,2003-11-16 21:18:26,2003-11-17 07:48:23,Completed,879
63,Traffic Light,2003-05-05 19:14:41,2003-05-05 22:30:14,Completed,332
64,Powerline,2008-07-21 19:09:00,2008-07-22 05:31:17,Completed,978
65,Powerline,2003-06-28 07:34:39,2003-06-28 15:42:52,Completed,138
66,Pipeline,2022-07-22 06:08:05,2022-07-22 14:23:13,Completed,200
67,Powerline,1999-06-23 15:02:53,1999-06-23 17:32:54,Completed,502
68,Sewer,2005-12-05 06:40:32,2005-12-05 12:04:37,Completed,790
69,Pipeline,2020-03-13 08:58:33,2020-03-13 12:01:36,Completed,427
70,Pipeline,2019-03-16 10:26:36,2019-03-16 20:45:28,Completed,958
71,Pipeline,1997-10-17 21:40:47,1997-10-18 03:54:08,Completed,285
72,Electricity,2023-05-29 18:06:42,2023-05-29 20:24:44,Completed,515
73,Electricity,2023-06-25 12:29:25,2023-06-25 16:54:58,Completed,59
74,Sewer,2007-02-16 19:05:13,2007-02-16 22:18:00,Completed,649
75,Pipeline,2007-06-05 13:08:23,2007-06-05 16:37:57,Completed,386
76,Pipeline,1998-02-11 15:13:25,1998-02-12 01:35:23,Completed,584
77,Traffic Light,2012-07-05 23:47:32,2012-07-06 02:59:26,Completed,880
78,Electricity,2000-02-18 09:40:07,2000-02-18 12:07:04,Completed,202
79,Sewer,2003-03-11 10:58:42,2003-03-11 18:28:36,Completed,904
80,Electricity,2000-03-17 14:56:18,2000-03-17 20:12:30,Completed,232
81,Electricity,2000-05-31 12:09:38,2000-05-31 22:10:47,Completed,700
82,Powerline,2007-04-29 01:17:24,2007-04-29 02:24:31,Completed,670
83,Powerline,2014-01-08 12:52:04,2014-01-08 23:13:54,Completed,222
84,Powerline,2015-04-23 02:43:32,2015-04-23 04:03:53,Completed,936
85,Pipeline,2006-05-11 08:30:01,2006-05-11 19:00:07,Completed,35
86,Powerline,2008-11-03 17:54:32,2008-11-03 23:22:29,Completed,332
87,Sewer,2011-08-05 21:08:31,2011-08-06 01:28:48,Completed,854
88,Sewer,2012-03-19 11:32:31,2012-03-19 18:02:50,Completed,115
89,Pipeline,2023-07-26 21:49:49,2023-07-26 23:20:46,Completed,423
90,Pipeline,2001-07-04 12:24:20,2001-07-04 19:53:16,Completed,730
91,Powerline,2015-06-29 04:35:33,2015-06-29 05:54:16,Completed,245
92,Pipeline,2023-07-30 23:22:46,2023-07-31 04:47:45,Completed,936
93,Electricity,2021-11-21 09:38:27,2021-11-21 16:55:44,Completed,119
94,Pipeline,2022-09-09 16:59:34,2022-09-09 22:08:53,Completed,235
95,Powerline,2008-06-12 12:07:39,2008-06-12 20:37:31,Completed,515
96,Traffic Light,2018-09-22 23:09:51,,Not Started,692
97,Traffic Light,2018-05-23 21:37:10,2018-05-23 23:57:47,Completed,236
98,Sewer,2016-11-14 10:58:51,2016-11-14 14:15:37,Completed,433
99,Electricity,2016-07-03 08:00:56,,In Progress,621
100,Pipeline,1997-12-23 02:20:46,1997-12-23 07:39:08,Completed,244
101,Electricity,2005-10-12 18:45:56,2005-10-13 01:01:26,Completed,625
102,Pipeline,2003-03-15 21:31:27,2003-03-15 22:53:14,Completed,93
103,Sewer,2009-12-30 05:43:08,2009-12-30 09:08:15,Completed,454
104,Road Construction,2020-01-31 13:12:22,2020-01-31 18:18:54,Completed,66
105,Powerline,2007-06-21 04:57:28,2007-06-21 12:22:42,Completed,101
106,Electricity,2023-11-06 20:55:04,2023-11-07 00:15:11,Completed,568
107,Electricity,2017-05-24 19:18:03,2017-05-24 21:31:06,Completed,904
